Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
1,14.6972,4.6373,0.0473,0.3544,0.0602,0.4718,0.3905,BCC+FCC
1,13.1452,4.5344,0.0831,0.3572,0.0748,0.5105,0.4905,IM
3,13.1545,4.3509,0.0337,0.1625,0.0432,0.7052,0.3905,IM
3,14.2323,4.7277,0.053,0.3122,0.0663,0.4777,0.4232,IM
3,13.3081,4.2979,0.0393,0.1494,0.0382,0.7274,0.3704,BCC
3,11.2387,4.7971,0.0309,0.274,0.0694,0.3645,0.314,BCC+FCC
2,13.3809,4.406,0.0356,0.1439,0.0321,0.6071,0.3429,BCC
1,5.9458,4.3303,0.0114,0.157,0.0189,0.3741,0.2579,BCC
1,12.9758,4.655,0.0382,0.3116,0.0666,0.4002,0.3428,BCC
3,11.5144,4.5976,0.0462,0.3957,0.0708,0.4131,0.2587,IM
3,12.9664,4.245,0.0461,0.1505,0.0519,0.6867,0.3054,BCC
1,13.716,4.6583,0.0546,0.242,0.058,0.346,0.3017,BCC
1,14.5334,4.543,0.0418,0.2954,0.0768,0.3111,0.2464,BCC+FCC
3,9.6495,4.365,0.0187,0.1046,0.0633,0.1997,0.2439,FCC
3,13.1452,4.6678,0.0431,0.3584,0.0643,0.3978,0.2831,IM
2,13.3809,4.306,0.0314,0.1559,0.041,0.6935,0.3875,IM
3,15.9953,4.6673,0.0567,0.3373,0.0642,0.4855,0.4287,IM
3,15.8208,4.6293,0.0653,0.3727,0.0652,0.5375,0.4605,IM
3,13.3507,4.6979,0.0424,0.3469,0.0667,0.3945,0.2763,IM
4,12.9774,4.8261,0.0372,0.2212,0.0643,0.331,0.357,FCC
3,12.2615,4.5699,0.0476,0.4715,0.0732,0.5506,0.3468,BCC
3,11.6207,4.2441,0.0366,0.1244,0.0318,0.5849,0.2742,BCC
3,13.2539,4.2445,0.0365,0.172,0.0547,0.8333,0.3953,BCC
1,15.7145,4.6642,0.0542,0.3469,0.0655,0.4521,0.382,BCC+FCC
1,13.3809,4.506,0.0861,0.3496,0.0739,0.4822,0.4706,IM
3,12.9757,4.7833,0.0705,0.2394,0.0695,0.3498,0.261,IM
2,13.6693,4.78,0.0453,0.2617,0.0671,0.4278,0.445,FCC
1,10.5067,4.8456,0.0461,0.2615,0.0632,0.4174,0.458,FCC
1,14.6972,4.6527,0.0683,0.3075,0.0715,0.4335,0.4327,IM
1,15.6118,4.6377,0.0637,0.2512,0.0843,0.338,0.3928,IM
3,11.0757,4.55,0.0348,0.2023,0.0742,0.1754,0.1883,BCC+FCC
3,13.3507,4.7112,0.053,0.276,0.0672,0.4537,0.4639,IM
4,6.724,4.411,0.0741,0.3206,0.0557,0.2768,0.277,IM
1,13.6642,4.6731,0.0711,0.2477,0.0666,0.439,0.4961,IM
3,13.1452,4.7333,0.0416,0.2191,0.0666,0.3467,0.4005,IM
3,13.2416,4.7196,0.065,0.2416,0.0696,0.3746,0.2961,IM
3,13.2952,4.7426,0.0725,0.2433,0.0687,0.371,0.2752,IM
3,10.9812,4.2013,0.0349,0.1107,0.0287,0.5747,0.3258,IM
3,11.5257,4.3775,0.0369,0.2485,0.0296,0.7467,0.3344,BCC
3,10.0849,4.2025,0.0437,0.0802,0.0388,0.2597,0.132,BCC
1,14.6972,4.6573,0.0732,0.2817,0.0704,0.448,0.4751,IM
1,14.8548,4.6017,0.0384,0.2911,0.0815,0.3802,0.3557,BCC+FCC
1,14.2323,4.6585,0.0809,0.3499,0.073,0.4504,0.2609,IM
3,14.2323,4.6508,0.05,0.3076,0.0641,0.4075,0.3286,IM
3,13.1452,4.2489,0.0468,0.1538,0.0253,0.3591,0.2762,IM
3,13.2955,4.6556,0.0511,0.3642,0.0674,0.4014,0.2739,IM
1,5.8831,4.211,0.0126,0.1614,0.0672,0.1677,0.1822,BCC
1,13.011,4.6723,0.0529,0.3907,0.0726,0.4159,0.2618,BCC+FCC
2,11.9243,4.8444,0.0412,0.1909,0.0645,0.3047,0.3657,IM
3,13.2066,4.7571,0.0719,0.2422,0.0691,0.3635,0.2702,IM
3,10.9534,4.4407,0.0302,0.2791,0.0856,0.244,0.1822,IM
3,11.5257,4.42,0.0551,0.1579,0.0311,0.4842,0.4326,BCC
3,15.7618,4.6881,0.0472,0.2985,0.0637,0.4126,0.3813,BCC+FCC
3,9.1339,4.2933,0.0385,0.101,0.0077,0.4236,0.255,BCC
1,15.5993,4.6467,0.0605,0.246,0.0844,0.3312,0.3861,IM
1,14.6972,4.6782,0.0554,0.3373,0.0677,0.4479,0.3605,BCC
3,14.5338,4.7175,0.056,0.3309,0.0699,0.4259,0.3451,IM
3,12.7077,4.3765,0.0352,0.1704,0.0285,0.6552,0.3255,BCC
3,13.3809,4.68,0.0728,0.2487,0.0517,0.3012,0.2517,FCC
1,13.3809,4.39,0.0544,0.1481,0.0475,0.4931,0.4052,IM
3,12.5685,4.3657,0.0483,0.1653,0.0307,0.5684,0.2786,BCC
3,15.9242,4.6754,0.0489,0.3051,0.0645,0.4121,0.3807,IM
3,12.5108,4.619,0.1039,0.4333,0.0941,0.5972,0.4181,IM
1,10.4492,4.3635,0.0258,0.2435,0.0887,0.2614,0.2738,FCC
3,11.7465,4.5802,0.0392,0.3001,0.0576,0.3399,0.2754,IM
3,13.2542,4.3145,0.0404,0.1486,0.0386,0.7013,0.3637,BCC
4,10.5906,4.6575,0.0288,0.1407,0.0533,0.2826,0.3113,IM
1,14.8967,4.6217,0.0659,0.3526,0.0724,0.4664,0.4192,IM
1,14.5342,4.5475,0.0662,0.3996,0.0634,0.559,0.2958,IM
3,12.4462,4.226,0.0348,0.1055,0.0301,0.4455,0.2669,BCC
3,11.5257,4.7375,0.0432,0.2339,0.0736,0.2966,0.3127,FCC
3,12.6884,4.8149,0.0472,0.1752,0.0564,0.3936,0.4319,FCC
1,14.3353,4.6819,0.0505,0.341,0.0691,0.4483,0.3697,BCC
3,13.2283,4.4978,0.0593,0.4025,0.0697,0.2422,0.2601,IM
3,14.4228,4.5841,0.0565,0.3812,0.0663,0.4515,0.3016,IM
1,13.2539,4.7364,0.0729,0.211,0.0555,0.3238,0.3373,IM
3,11.0707,4.6712,0.0494,0.2661,0.0671,0.3136,0.3117,BCC
1,12.8124,4.6747,0.0353,0.2792,0.0654,0.3745,0.3457,BCC+FCC
1,14.5342,4.6225,0.0518,0.4041,0.0723,0.523,0.4041,BCC
1,14.8967,4.68,0.0469,0.3411,0.0646,0.448,0.3724,BCC+FCC
1,12.9758,4.6633,0.0527,0.2839,0.0644,0.451,0.459,IM
3,10.6859,4.8369,0.025,0.2086,0.0644,0.3318,0.3252,FCC
1,12.8253,4.4581,0.0438,0.3041,0.0271,0.4364,0.2664,BCC
3,11.7645,4.84,0.0389,0.1926,0.069,0.3015,0.3698,FCC
3,10.7941,4.586,0.0248,0.1418,0.0867,0.1298,0.2035,FCC
3,12.8584,4.7982,0.0431,0.2325,0.065,0.412,0.4508,BCC
1,15.8417,4.5712,0.0626,0.451,0.0668,0.5716,0.4176,BCC
3,11.5257,4.3025,0.0361,0.1951,0.0041,0.2879,0.2353,BCC
1,14.689,4.666,0.0646,0.3039,0.0711,0.4281,0.426,IM
3,11.5257,4.4625,0.0666,0.1744,0.0215,0.3943,0.2783,IM
1,14.4071,4.5913,0.0901,0.3535,0.0734,0.5061,0.3367,IM
3,9.1339,4.8833,0.0423,0.204,0.0569,0.3827,0.465,FCC
3,14.6101,4.6922,0.0578,0.3518,0.0692,0.4677,0.3761,IM
3,14.8967,4.6517,0.0614,0.3981,0.0699,0.464,0.3265,BCC+FCC
1,10.9149,4.3998,0.0292,0.0907,0.0352,0.4688,0.2695,BCC
2,11.5257,4.29,0.0555,0.1951,0.0068,0.4332,0.2528,IM
1,14.2129,4.688,0.0467,0.3344,0.0701,0.4516,0.3996,BCC+FCC
1,12.8852,4.7757,0.0787,0.3066,0.0743,0.5011,0.523,BCC+FCC
1,13.1452,4.7611,0.0618,0.1954,0.06,0.392,0.3712,IM
3,11.5257,4.6025,0.0809,0.5051,0.0753,0.5106,0.2655,FCC
3,11.5257,4.2025,0.0588,0.1768,0.0418,0.2104,0.2394,BCC
3,13.3809,4.406,0.0407,0.1439,0.0277,0.5773,0.4849,BCC
3,12.8276,4.1544,0.0425,0.1262,0.0422,0.2769,0.2221,BCC
1,14.5409,4.6107,0.0879,0.3534,0.0736,0.4912,0.3172,IM
3,13.2539,4.1818,0.0588,0.1709,0.0391,0.2436,0.2885,IM
1,14.221,4.2929,0.0549,0.3278,0.0359,0.513,0.3753,BCC+FCC
3,11.2961,4.4388,0.0329,0.3286,0.0829,0.3007,0.1944,IM
3,13.3809,4.346,0.0524,0.1265,0.0242,0.6881,0.3313,BCC
3,14.5334,4.631,0.0535,0.3405,0.0632,0.4736,0.3783,IM
3,13.357,4.727,0.0729,0.2439,0.0681,0.3789,0.2804,IM
3,13.2836,4.4611,0.0325,0.2467,0.0655,0.2925,0.2436,BCC
1,14.2216,4.7435,0.0422,0.2232,0.0579,0.3931,0.4068,IM
3,12.6477,4.2816,0.0329,0.1539,0.0392,0.7863,0.3856,BCC
3,13.1452,4.2256,0.0319,0.175,0.0599,0.7999,0.3997,BCC
3,14.6972,4.6182,0.0383,0.2071,0.0813,0.3126,0.3673,FCC
1,14.7411,4.7054,0.0757,0.2305,0.0619,0.3725,0.3845,IM
1,14.8707,4.7007,0.0534,0.2827,0.0615,0.4569,0.4428,IM
3,12.0169,4.8019,0.0341,0.2536,0.0682,0.3741,0.3431,IM
1,11.2387,4.3686,0.0377,0.1852,0.0338,0.5077,0.2429,IM
3,12.4921,4.6616,0.0364,0.2455,0.0787,0.244,0.2256,IM
1,12.8253,4.7521,0.0368,0.248,0.0653,0.373,0.3917,FCC
1,12.5596,4.4833,0.0329,0.289,0.0925,0.3176,0.316,FCC
1,11.5257,4.24,0.0477,0.1768,0.0262,0.2878,0.3115,IM
3,5.7628,5.075,0.0119,0.0526,0.0148,0.3463,0.3846,FCC
3,15.9085,4.6379,0.0636,0.3652,0.0651,0.526,0.4536,IM
1,14.8967,4.4767,0.0528,0.4032,0.0692,0.5655,0.447,IM
1,14.3281,4.7003,0.0435,0.324,0.0679,0.4307,0.3818,BCC+FCC
3,13.3448,4.1771,0.0571,0.1652,0.0397,0.2496,0.2846,IM
1,11.5257,4.3575,0.0458,0.2294,0.0324,0.5541,0.2265,IM
3,12.1979,4.7829,0.0364,0.1832,0.0607,0.3317,0.3917,FCC
3,13.1452,4.2289,0.0378,0.1825,0.0601,0.8499,0.4139,BCC
3,12.4921,4.6627,0.0378,0.239,0.0785,0.2483,0.2398,IM
1,9.5922,4.5143,0.0195,0.1142,0.0535,0.2492,0.2974,BCC+FCC
3,11.5257,4.195,0.0449,0.1111,0.0412,0.4325,0.226,BCC
3,13.2112,4.5617,0.1078,0.4364,0.0904,0.5663,0.3999,IM
1,12.6016,4.8091,0.041,0.2131,0.0681,0.3105,0.3621,IM
3,13.4679,4.8249,0.0442,0.2883,0.0709,0.4135,0.386,IM
1,13.1452,4.6933,0.0598,0.3621,0.075,0.4816,0.379,BCC+FCC
1,13.2539,4.6491,0.0467,0.3896,0.0724,0.4819,0.371,BCC+FCC
1,6.4197,4.2252,0.0141,0.1711,0.0704,0.1784,0.1933,BCC+FCC
3,13.3809,4.582,0.068,0.4427,0.0682,0.4786,0.2719,FCC
1,10.8339,4.5056,0.0439,0.5229,0.0707,0.5935,0.3195,FCC
3,15.5451,4.6535,0.0529,0.3696,0.0697,0.4943,0.4124,BCC
4,10.6573,4.8374,0.03,0.161,0.0551,0.4212,0.5109,IM
4,13.1452,4.7667,0.0492,0.196,0.0622,0.3226,0.3196,IM
3,12.4815,4.559,0.027,0.1511,0.0707,0.2967,0.3509,IM
2,9.1339,4.2267,0.0315,0.1088,0.0297,0.3352,0.141,BCC
3,15.5993,4.6133,0.0677,0.386,0.0653,0.5584,0.4725,IM
1,13.3809,4.366,0.0295,0.1789,0.0451,0.7747,0.4489,IM
3,14.677,4.5671,0.0568,0.3901,0.0658,0.4927,0.3387,IM
3,14.5338,4.705,0.0544,0.3241,0.0671,0.4649,0.3958,IM
3,14.8159,4.536,0.1186,0.4357,0.102,0.5422,0.3735,IM
4,10.1449,4.7905,0.0452,0.2404,0.0705,0.2528,0.271,FCC
1,13.3321,4.75,0.0722,0.2009,0.0593,0.4025,0.3602,IM
3,13.3809,4.296,0.0506,0.1559,0.0335,0.69,0.6103,IM
3,11.1836,4.2405,0.0367,0.1113,0.0267,0.5047,0.2708,BCC
1,12.6016,4.5473,0.0503,0.4381,0.0671,0.4919,0.2562,BCC
1,12.9664,4.7788,0.0328,0.2696,0.0659,0.3617,0.2994,FCC
3,13.2556,4.802,0.0475,0.3277,0.0707,0.4587,0.3952,BCC+FCC
3,13.3809,4.216,0.0592,0.1739,0.0507,0.7733,0.6456,IM
1,10.9707,4.8295,0.0458,0.3131,0.0669,0.4939,0.4919,BCC+FCC
1,10.7244,4.628,0.0485,0.3831,0.0679,0.4593,0.3891,BCC+FCC
1,10.6407,4.833,0.0511,0.3072,0.0742,0.3677,0.3329,BCC+FCC
1,10.3824,4.5305,0.044,0.3015,0.024,0.381,0.278,BCC+FCC
1,11.2532,4.6995,0.0421,0.3041,0.0672,0.3237,0.1441,BCC+FCC
4,11.0999,4.7725,0.0279,0.1575,0.058,0.3709,0.4457,FCC
3,10.3824,4.7,0.0297,0.1384,0.047,0.2958,0.2643,FCC
4,11.0999,4.75,0.0274,0.1303,0.051,0.304,0.2854,FCC
4,10.8536,4.6475,0.0261,0.1477,0.0589,0.3103,0.3782,FCC
3,10.3824,4.388,0.0363,0.1186,0.0359,0.4476,0.2593,BCC
4,10.2365,4.0775,0.0392,0.0538,0.0416,0.4022,0.2204,BCC
1,11.5758,4.563,0.0476,0.3028,0.0328,0.4134,0.3219,BCC+FCC
1,12.8408,4.6045,0.0409,0.3211,0.0495,0.4381,0.3688,BCC+FCC
1,12.9821,4.637,0.0473,0.3333,0.0518,0.4864,0.4276,BCC+FCC
1,13.1708,4.6145,0.0449,0.3301,0.0531,0.4885,0.4409,BCC+FCC
1,12.2933,4.662,0.051,0.3413,0.0537,0.5253,0.477,BCC+FCC
1,13.1708,4.6035,0.0432,0.3534,0.0553,0.4871,0.4132,BCC+FCC
1,13.1708,4.6185,0.0483,0.3676,0.0547,0.5049,0.4252,BCC+FCC
1,13.1708,4.5825,0.0519,0.4041,0.0539,0.5174,0.4018,BCC+FCC
1,13.1708,4.5925,0.0472,0.3888,0.0574,0.515,0.4169,BCC+FCC
1,12.047,4.5665,0.0426,0.3923,0.0595,0.5001,0.3829,BCC+FCC
1,11.9058,4.7745,0.0566,0.3458,0.0716,0.3993,0.3212,BCC+FCC
1,12.8408,4.777,0.0528,0.3377,0.0693,0.452,0.4078,BCC+FCC
1,12.5825,4.7095,0.0501,0.3336,0.0585,0.4947,0.4312,BCC+FCC
1,12.3696,4.8195,0.0414,0.3098,0.0633,0.477,0.4515,BCC+FCC
1,11.9058,4.737,0.0466,0.3263,0.0589,0.5164,0.4944,BCC+FCC
1,13.0871,4.6735,0.0585,0.3825,0.0632,0.5062,0.3994,BCC+FCC
1,12.8408,4.755,0.0551,0.3962,0.0747,0.4905,0.3831,BCC+FCC
1,12.3696,4.578,0.0516,0.3097,0.0625,0.4592,0.4344,BCC+FCC
1,12.2237,4.652,0.051,0.3416,0.0624,0.54,0.5125,BCC+FCC
3,11.4995,4.834,0.0261,0.1903,0.063,0.3367,0.3596,FCC
3,11.8937,4.8055,0.0318,0.2472,0.0688,0.331,0.3049,FCC
3,12.5108,4.758,0.031,0.25,0.0657,0.3904,0.3912,FCC
1,11.8937,4.6865,0.0495,0.4123,0.0799,0.4241,0.2508,BCC+FCC
1,12.5108,4.679,0.0485,0.4091,0.0783,0.4434,0.2863,BCC+FCC
1,12.5945,4.6465,0.0465,0.4045,0.0757,0.4432,0.2862,BCC+FCC
1,12.2933,4.729,0.0477,0.404,0.0788,0.4555,0.3131,BCC+FCC
1,12.5945,4.624,0.0437,0.3916,0.0697,0.493,0.3769,BCC+FCC
1,12.1233,4.8105,0.0509,0.305,0.072,0.4479,0.4557,BCC+FCC
1,12.6521,4.792,0.0531,0.3389,0.0746,0.4613,0.4345,BCC+FCC
4,11.9058,4.699,0.0305,0.2044,0.056,0.3071,0.2587,FCC
4,11.5758,4.7555,0.0299,0.2422,0.0681,0.3001,0.2414,FCC
4,12.1233,4.6555,0.0344,0.2584,0.0552,0.3354,0.2599,FCC
4,12.2933,4.7695,0.0339,0.2876,0.0703,0.3514,0.2714,FCC
1,12.8408,4.691,0.041,0.339,0.0698,0.3667,0.2177,BCC+FCC
4,11.7645,4.7065,0.0364,0.245,0.056,0.3167,0.3454,FCC
1,11.8937,4.8165,0.0556,0.3789,0.0742,0.4599,0.3474,BCC+FCC
1,11.9774,4.649,0.0447,0.3812,0.0751,0.4079,0.2416,BCC+FCC
1,11.3007,4.594,0.041,0.3635,0.0647,0.4392,0.3273,BCC+FCC
1,12.482,4.7165,0.0463,0.3799,0.0753,0.4491,0.3363,BCC+FCC
3,11.217,4.774,0.0331,0.2041,0.0682,0.2909,0.2874,FCC
3,11.4995,4.824,0.0338,0.2021,0.0659,0.328,0.3369,FCC
1,12.5945,4.5805,0.0452,0.3119,0.0469,0.3737,0.2894,BCC+FCC
1,12.3696,4.7495,0.0528,0.3379,0.0721,0.3666,0.2691,BCC+FCC
1,13.1708,4.652,0.0462,0.3358,0.0656,0.367,0.2645,BCC+FCC
1,13.2758,4.6595,0.0501,0.341,0.0651,0.384,0.2767,BCC+FCC
1,12.0108,4.646,0.0597,0.3793,0.0616,0.4581,0.2999,BCC+FCC
1,12.9458,4.681,0.0561,0.3795,0.0703,0.4197,0.2858,BCC+FCC
1,12.4412,4.6985,0.0548,0.3783,0.0739,0.3949,0.278,BCC+FCC
1,12.1233,4.525,0.0431,0.382,0.0523,0.4121,0.2465,BCC+FCC
1,12.047,4.503,0.0454,0.3179,0.0311,0.3917,0.3004,BCC+FCC
1,11.5758,4.6855,0.0519,0.313,0.0866,0.3018,0.2534,BCC+FCC
1,12.6521,4.622,0.0448,0.3288,0.0795,0.3237,0.2447,BCC+FCC
1,12.482,4.631,0.0445,0.3518,0.077,0.3521,0.2386,BCC+FCC
1,11.9058,4.685,0.05,0.3894,0.084,0.3807,0.2361,BCC+FCC
1,12.482,4.6725,0.0508,0.3708,0.0718,0.384,0.1825,BCC+FCC
1,12.5945,4.6905,0.0478,0.2993,0.0691,0.3061,0.1588,BCC+FCC
1,11.5758,4.7145,0.0442,0.3274,0.078,0.2968,0.135,BCC+FCC
3,11.7645,4.192,0.0403,0.1296,0.0406,0.3668,0.2059,BCC
3,11.9774,4.8025,0.0242,0.1344,0.0585,0.3067,0.3405,FCC
1,12.8408,4.795,0.0302,0.167,0.057,0.3666,0.4181,FCC
4,11.6353,4.925,0.0248,0.1447,0.049,0.3818,0.4253,FCC
1,11.5758,4.8865,0.0319,0.1816,0.0575,0.4049,0.4623,FCC
3,11.6353,4.8925,0.0342,0.1816,0.059,0.3714,0.4422,FCC
2,11.8937,4.715,0.0351,0.156,0.049,0.3477,0.2878,FCC
2,12.5657,4.8075,0.0328,0.156,0.0589,0.3139,0.3174,FCC
2,11.7645,4.835,0.0294,0.1434,0.0572,0.3381,0.3781,FCC
2,11.7645,4.785,0.0307,0.1542,0.0543,0.3366,0.3742,FCC
4,12.6521,4.795,0.0353,0.1891,0.0619,0.2959,0.2537,FCC
4,11.217,4.8575,0.0258,0.1449,0.0632,0.2571,0.2731,FCC
3,12.8408,4.715,0.0352,0.1951,0.0588,0.2997,0.2891,FCC
3,11.8937,4.785,0.0252,0.1485,0.06,0.3044,0.3319,FCC
3,12.2525,4.855,0.0358,0.202,0.064,0.3249,0.3365,FCC
3,12.6875,4.79,0.0358,0.2027,0.0647,0.3224,0.346,FCC
3,11.5758,4.8725,0.0346,0.1961,0.0633,0.3314,0.3552,FCC
4,11.8937,4.5825,0.0265,0.1431,0.0893,0.2785,0.3992,FCC
2,12.5945,4.7275,0.028,0.1485,0.0875,0.2926,0.3968,FCC
3,11.217,4.6925,0.0235,0.1344,0.057,0.3093,0.3573,FCC
4,11.217,4.5975,0.0348,0.2051,0.0625,0.3042,0.3676,FCC
3,11.217,4.65,0.0279,0.167,0.0557,0.3103,0.3623,FCC
4,11.4299,4.8475,0.04,0.1546,0.0626,0.3116,0.3112,FCC
4,11.4299,4.7975,0.0286,0.1228,0.0661,0.3119,0.3395,FCC
3,11.2766,4.7975,0.0267,0.1458,0.072,0.2407,0.2881,FCC
4,12.2933,4.73,0.0325,0.1913,0.0734,0.2986,0.3562,FCC
3,11.2766,4.165,0.0384,0.2244,0.0618,0.3951,0.2202,BCC
4,11.8937,4.525,0.0306,0.175,0.0809,0.1648,0.1937,FCC
4,12.0349,4.107,0.0393,0.1262,0.0454,0.6597,0.4912,BCC
3,10.9586,4.1625,0.0424,0.1185,0.0477,0.4537,0.3718,BCC
2,11.7645,4.09,0.0393,0.3281,0.05,0.4174,0.2321,BCC
4,11.217,4.1015,0.0395,0.2049,0.0482,0.4077,0.2703,BCC
3,11.9774,4.1025,0.0349,0.2023,0.0455,0.4775,0.3018,BCC
3,11.6353,4.1705,0.0383,0.1268,0.0504,0.5306,0.2397,BCC
3,11.217,4.201,0.0386,0.1296,0.0493,0.5462,0.226,BCC
4,12.377,4.165,0.0399,0.1316,0.0503,0.6449,0.2625,BCC
4,12.482,4.2285,0.0447,0.1111,0.0279,0.4229,0.2625,BCC
3,11.4299,4.0975,0.0391,0.0732,0.0417,0.4105,0.2194,BCC
3,11.9774,4.1,0.0414,0.086,0.0437,0.4693,0.2385,BCC
2,11.4299,4.133,0.0458,0.0732,0.0428,0.4095,0.2132,BCC
3,11.3007,4.1815,0.0448,0.1111,0.033,0.3866,0.2587,BCC
4,12.5825,4.1555,0.0393,0.1113,0.0381,0.3649,0.2277,BCC
3,12.2933,4.1035,0.0424,0.0952,0.0413,0.5253,0.2773,BCC
2,13.2758,4.14,0.0408,0.1093,0.04,0.4217,0.2463,BCC
4,12.482,4.1425,0.0413,0.1111,0.039,0.3881,0.2428,BCC
4,13.0295,4.1825,0.047,0.0975,0.0379,0.3606,0.2167,BCC
3,11.8937,4.1875,0.0371,0.1065,0.0316,0.4211,0.2726,BCC
4,11.4299,4.2025,0.0421,0.1026,0.0314,0.3683,0.2499,BCC
4,12.4291,4.774,0.033,0.2153,0.0667,0.2767,0.2681,FCC
3,12.9458,4.709,0.03,0.2093,0.0583,0.334,0.321,FCC
3,13.5221,4.749,0.0315,0.2122,0.0593,0.3457,0.3246,FCC
2,12.47,4.6665,0.0336,0.2211,0.0491,0.3617,0.335,FCC
3,13.1634,4.8715,0.0324,0.2166,0.0605,0.3572,0.349,FCC
4,13.6225,4.709,0.0329,0.2217,0.0583,0.3561,0.3496,FCC
3,13.8809,4.799,0.0367,0.2294,0.0632,0.3583,0.3648,FCC
4,13.1587,4.864,0.0284,0.2022,0.0595,0.3539,0.3434,FCC
3,13.9646,4.759,0.0348,0.2271,0.0611,0.3803,0.3939,FCC
3,12.3696,4.9065,0.0299,0.2083,0.0585,0.3708,0.3929,FCC
1,13.8401,4.678,0.0511,0.3061,0.0563,0.4377,0.3671,BCC+FCC
1,14.0984,4.688,0.0414,0.281,0.0558,0.4199,0.3699,BCC+FCC
3,13.0463,4.7005,0.0299,0.2531,0.0613,0.4022,0.3974,FCC
1,13.3763,4.7345,0.043,0.3145,0.0716,0.349,0.2524,BCC+FCC
1,13.6225,4.7495,0.0505,0.3302,0.0698,0.3941,0.2961,BCC+FCC
1,13.3763,4.732,0.0442,0.3124,0.0641,0.399,0.2781,BCC+FCC
1,13.9934,4.627,0.0463,0.3272,0.0552,0.4179,0.3167,BCC+FCC
1,12.6995,4.6095,0.0589,0.3604,0.0487,0.4975,0.3965,BCC+FCC
1,13.9813,4.792,0.0448,0.3152,0.0694,0.404,0.3266,BCC+FCC
1,14.5697,4.6695,0.0516,0.3454,0.062,0.4613,0.3921,BCC+FCC
1,13.8809,4.777,0.0494,0.3292,0.0693,0.4413,0.3936,BCC+FCC
1,14.8159,4.687,0.0463,0.3309,0.0637,0.4556,0.3997,BCC+FCC
1,14.4284,4.662,0.0507,0.3435,0.0598,0.4823,0.4221,BCC+FCC
1,13.2638,4.7045,0.0503,0.3386,0.0676,0.4492,0.4113,BCC+FCC
1,13.9934,4.697,0.047,0.3284,0.0631,0.4946,0.4639,BCC+FCC
1,13.2638,4.7795,0.0457,0.3184,0.0669,0.4877,0.4712,BCC+FCC
1,14.5697,4.691,0.0497,0.3647,0.0698,0.4341,0.3253,BCC+FCC
1,13.4813,4.741,0.051,0.3639,0.0748,0.4167,0.3268,BCC+FCC
1,13.8809,4.676,0.0394,0.3411,0.0686,0.4007,0.2927,BCC+FCC
1,14.0696,4.626,0.0466,0.3609,0.0574,0.4647,0.3701,BCC+FCC
1,13.5221,4.6685,0.0421,0.3464,0.0613,0.4431,0.3747,BCC+FCC
1,14.2397,4.686,0.0451,0.3515,0.0656,0.4937,0.4342,BCC+FCC
1,12.3408,4.826,0.0413,0.3339,0.0688,0.4575,0.4046,BCC+FCC
1,12.6995,4.745,0.0497,0.3838,0.0777,0.3988,0.2257,BCC+FCC
1,13.9646,4.6225,0.0478,0.3924,0.0675,0.4296,0.271,BCC+FCC
1,13.7759,4.68,0.0521,0.3972,0.0744,0.4332,0.2887,BCC+FCC
1,13.1708,4.5725,0.0491,0.3953,0.0534,0.438,0.2833,BCC+FCC
1,14.1821,4.6725,0.0479,0.3878,0.0726,0.4362,0.297,BCC+FCC
1,13.0175,4.7875,0.0494,0.3806,0.0752,0.4447,0.3158,BCC+FCC
1,14.3234,4.65,0.0483,0.3869,0.0668,0.5062,0.4108,BCC+FCC
1,13.8809,4.6145,0.0492,0.3217,0.0484,0.4802,0.4246,BCC+FCC
1,13.1708,4.6395,0.0436,0.3013,0.051,0.4267,0.3806,BCC+FCC
1,13.6225,4.6475,0.0496,0.3516,0.0606,0.4803,0.4341,BCC+FCC
1,13.9813,4.6475,0.0527,0.3589,0.0606,0.524,0.4784,BCC+FCC
1,14.0696,4.5775,0.0493,0.3784,0.0533,0.4908,0.3922,BCC+FCC
1,13.7183,4.5765,0.0484,0.394,0.0588,0.5149,0.4107,BCC+FCC
1,13.9646,4.623,0.0416,0.2993,0.0524,0.4475,0.4206,BCC+FCC
1,14.2397,4.562,0.0449,0.3318,0.0535,0.4475,0.392,BCC+FCC
1,13.6225,4.6195,0.0471,0.33,0.0641,0.4628,0.4436,BCC+FCC
1,13.9646,4.5935,0.0454,0.3607,0.0571,0.468,0.3942,BCC+FCC
1,13.1634,4.6435,0.0473,0.3545,0.0661,0.4915,0.4609,BCC+FCC
2,11.0757,4.6765,0.0225,0.1872,0.0606,0.3783,0.4319,FCC
1,11.7524,4.5355,0.0412,0.2837,0.0394,0.3531,0.2704,BCC+FCC
1,14.0696,4.588,0.0404,0.294,0.0532,0.4365,0.4045,BCC+FCC
1,13.7183,4.6205,0.0478,0.3093,0.0558,0.484,0.4565,BCC+FCC
1,13.9934,4.5855,0.0449,0.3026,0.0615,0.4659,0.4455,BCC+FCC
1,14.0221,4.552,0.0484,0.3476,0.0513,0.4715,0.3992,BCC+FCC
1,13.6225,4.6335,0.0463,0.3563,0.065,0.5156,0.4756,BCC+FCC
1,13.9646,4.4975,0.0454,0.3925,0.049,0.4806,0.3503,BCC+FCC
1,14.2109,4.53,0.0485,0.3987,0.0546,0.4931,0.3752,BCC+FCC
1,12.6995,4.8285,0.0487,0.3298,0.0679,0.4989,0.468,BCC+FCC
1,13.4813,4.79,0.0564,0.3773,0.0744,0.4786,0.3784,BCC+FCC
