Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,
4,8.0675,12.165,0.0267,0.1205,0.0908,FCC
4,8.325,13.595,0.0263,0.1025,0.1045,FCC
2,8.2375,13.07,0.0267,0.1091,0.0984,FCC
1,8.2905,13.315,0.0292,0.1149,0.1042,FCC
2,8.15,12.545,0.0258,0.112,0.0915,FCC
4,8.0625,12.02,0.025,0.111,0.0836,FCC
2,8.32,13.45,0.024,0.0961,0.0992,FCC
2,8.373,13.695,0.0256,0.1014,0.1052,FCC
2,8.2325,12.925,0.0242,0.1015,0.0921,FCC
2,8.2855,13.17,0.0269,0.1087,0.099,FCC
4,8.3385,13.415,0.0288,0.1141,0.1049,FCC
2,8.145,12.4,0.0231,0.1028,0.084,FCC
2,8.198,12.645,0.0268,0.1124,0.0921,FCC
4,8.2415,13.555,0.0203,0.0835,0.1088,FCC
2,8.315,13.305,0.0217,0.0886,0.0926,FCC
1,8.368,13.55,0.0236,0.0953,0.0998,FCC
2,8.421,13.795,0.0248,0.1002,0.1058,FCC
2,8.2805,13.025,0.0246,0.1015,0.0926,FCC
2,8.3335,13.27,0.0268,0.1082,0.0996,FCC
4,8.246,12.745,0.0274,0.1126,0.0926,FCC
4,8.5935,13.46,0.0339,0.1354,0.1177,FCC
4,8.506,12.935,0.0378,0.1474,0.1111,FCC
4,8.5335,13.25,0.0339,0.1436,0.1149,FCC
3,8.4995,12.62,0.0358,0.1432,0.0949,FCC
4,8.501,12.79,0.0363,0.1453,0.1036,FCC
3,8.5285,13.105,0.0321,0.1415,0.1053,FCC
1,8.4945,12.475,0.0349,0.1403,0.0842,FCC
2,8.5235,12.96,0.031,0.139,0.094,FCC
1,8.525,13.13,0.0314,0.1411,0.1053,FCC
4,8.5265,13.3,0.0321,0.1431,0.1148,FCC
4,8.5185,12.815,0.0303,0.136,0.0804,FCC
4,8.523,13.325,0.0313,0.1427,0.1147,FCC
1,8.381,15.905,0.0353,0.121,0.1748,FCC
1,8.376,15.76,0.0336,0.1161,0.1737,FCC
1,8.379,16.1,0.0352,0.1229,0.1741,FCC
1,8.3725,15.785,0.0328,0.1143,0.1733,FCC
1,8.302,16.375,0.0349,0.1205,0.1815,FCC
1,8.374,15.955,0.0336,0.118,0.1739,FCC
1,8.297,16.23,0.033,0.1141,0.1817,FCC
1,8.2125,14.235,0.0484,0.1923,0.1351,BCC+FCC
1,8.134,14.34,0.0486,0.1907,0.1437,BCC+FCC
2,8.5325,11.905,0.0367,0.1625,0.1225,FCC
4,8.615,12.285,0.0328,0.153,0.1207,FCC
3,8.5635,12.21,0.0323,0.1525,0.1213,FCC
3,8.5805,12.005,0.0365,0.162,0.122,FCC
2,8.529,11.93,0.0358,0.1611,0.1226,FCC
4,8.4775,11.855,0.0345,0.1599,0.1232,FCC
1,8.663,12.385,0.032,0.1522,0.1202,FCC
4,8.6115,12.31,0.0319,0.1518,0.1208,FCC
3,8.56,12.235,0.0313,0.1511,0.1215,FCC
4,8.5085,12.16,0.0303,0.1499,0.122,FCC
1,8.6285,12.105,0.0361,0.1613,0.1215,FCC
1,8.577,12.03,0.0357,0.1607,0.1222,FCC
2,8.5255,11.955,0.0348,0.1596,0.1227,FCC
4,8.474,11.88,0.0334,0.1581,0.1233,FCC
4,8.711,12.485,0.031,0.1512,0.1197,FCC
3,8.608,12.335,0.0311,0.1505,0.121,FCC
1,8.6765,12.205,0.0354,0.1606,0.121,FCC
1,8.625,12.13,0.0354,0.1601,0.1217,FCC
3,8.5735,12.055,0.0349,0.1593,0.1223,FCC
3,8.522,11.98,0.0339,0.158,0.1229,FCC
4,8.4705,11.905,0.0324,0.1563,0.1234,FCC
4,8.759,12.585,0.0298,0.1502,0.1191,FCC
4,8.7245,12.305,0.0344,0.1597,0.1205,FCC
4,8.673,12.23,0.0348,0.1595,0.1212,FCC
4,8.0985,11.885,0.0327,0.1412,0.0353,FCC
4,8.198,12.06,0.0345,0.1424,0.0349,FCC
2,8.2805,12.44,0.0309,0.1319,0.0318,FCC
4,8.229,12.365,0.0303,0.1311,0.0321,FCC
4,8.0915,11.935,0.0301,0.1369,0.0349,FCC
4,8.277,12.465,0.03,0.1304,0.0316,FCC
4,8.174,12.315,0.0279,0.1277,0.0322,FCC
3,8.294,12.26,0.034,0.1413,0.0341,FCC
4,8.2425,12.185,0.0334,0.1403,0.0344,FCC
4,8.191,12.11,0.0324,0.1389,0.0346,FCC
4,8.1565,11.83,0.0355,0.1476,0.0369,FCC
3,8.3765,12.64,0.0293,0.1301,0.0307,FCC
1,8.325,12.565,0.0294,0.1297,0.0311,FCC
4,8.2735,12.49,0.029,0.1288,0.0315,FCC
3,8.222,12.415,0.0281,0.1274,0.0318,FCC
3,8.342,12.36,0.0334,0.1405,0.0337,FCC
4,8.2905,12.285,0.0332,0.1398,0.034,FCC
3,8.239,12.21,0.0325,0.1386,0.0343,FCC
2,8.1875,12.135,0.0313,0.1369,0.0344,FCC
4,8.136,12.06,0.0296,0.1347,0.0345,FCC
1,8.4245,12.74,0.0281,0.129,0.03,FCC
3,8.373,12.665,0.0286,0.1288,0.0306,FCC
2,8.3215,12.59,0.0286,0.1282,0.031,FCC
4,8.27,12.515,0.0281,0.1271,0.0314,FCC
3,8.2185,12.44,0.0271,0.1254,0.0316,FCC
4,8.39,12.46,0.0325,0.1397,0.0331,FCC
3,8.3385,12.385,0.0326,0.1392,0.0336,FCC
3,8.287,12.31,0.0323,0.1382,0.0339,FCC
1,8.421,12.765,0.0275,0.1279,0.03,FCC
2,8.3695,12.69,0.0279,0.1275,0.0305,FCC
4,8.318,12.615,0.0277,0.1266,0.0309,FCC
1,8.335,12.41,0.0319,0.1377,0.0335,FCC
4,8.4365,12.195,0.0346,0.1668,0.1565,FCC
4,8.385,12.12,0.0333,0.166,0.1571,FCC
4,8.402,11.915,0.0378,0.1749,0.1577,FCC
3,8.4845,12.295,0.0345,0.1662,0.1559,FCC
4,8.3815,12.145,0.0321,0.1645,0.1573,FCC
3,8.347,11.865,0.035,0.1722,0.1585,FCC
3,8.5325,12.395,0.0341,0.1655,0.1554,FCC
4,8.481,12.32,0.0336,0.165,0.1561,FCC
4,8.4295,12.245,0.0325,0.1642,0.1568,FCC
4,8.498,12.115,0.0379,0.1739,0.1567,FCC
4,8.4465,12.04,0.037,0.1732,0.1573,FCC
4,8.395,11.965,0.0357,0.172,0.158,FCC
3,8.5805,12.495,0.0335,0.1647,0.1549,FCC
3,8.529,12.42,0.0333,0.1644,0.1556,FCC
2,8.4775,12.345,0.0326,0.1638,0.1563,FCC
4,8.426,12.27,0.0314,0.1627,0.1569,FCC
4,8.3745,12.195,0.0297,0.1612,0.1576,FCC
3,8.546,12.215,0.0375,0.1733,0.1562,FCC
1,8.4945,12.14,0.0371,0.1727,0.1568,FCC
4,8.443,12.065,0.0361,0.1718,0.1575,FCC
3,8.4085,11.785,0.0395,0.1792,0.1587,FCC
2,8.357,11.71,0.0378,0.1776,0.1593,FCC
4,8.6285,12.595,0.0326,0.1638,0.1544,FCC
1,8.577,12.52,0.0328,0.1637,0.1551,FCC
3,8.5255,12.445,0.0325,0.1633,0.1558,FCC
4,8.474,12.37,0.0317,0.1624,0.1564,FCC
3,8.594,12.315,0.0369,0.1726,0.1556,FCC
2,8.5425,12.24,0.0368,0.1722,0.1563,FCC
1,8.491,12.165,0.0362,0.1714,0.157,FCC
2,8.4395,12.09,0.0351,0.1703,0.1577,FCC
3,8.388,12.015,0.0335,0.1687,0.1583,FCC
4,8.3365,11.94,0.0314,0.1666,0.1589,FCC
3,8.405,11.81,0.0386,0.1776,0.1588,FCC
2,8.3535,11.735,0.0367,0.1757,0.1595,FCC
4,8.6765,12.695,0.0315,0.1629,0.1538,FCC
4,8.625,12.62,0.032,0.1629,0.1545,FCC
2,8.5735,12.545,0.0321,0.1626,0.1553,FCC
3,8.522,12.47,0.0316,0.162,0.1559,FCC
1,8.642,12.415,0.0361,0.1718,0.1551,FCC
1,8.5905,12.34,0.0363,0.1716,0.1558,FCC
3,8.539,12.265,0.0361,0.171,0.1565,FCC
3,8.4875,12.19,0.0354,0.17,0.1572,FCC
4,8.3845,12.04,0.0324,0.1668,0.1584,FCC
2,8.9375,12.355,0.0376,0.1992,0.1797,FCC
3,8.8345,12.205,0.0354,0.1984,0.1812,FCC
4,8.9855,12.455,0.0372,0.1985,0.1792,FCC
2,8.934,12.38,0.0368,0.1984,0.1799,FCC
3,8.8825,12.305,0.0358,0.198,0.1806,FCC
4,8.831,12.23,0.0344,0.1972,0.1813,FCC
4,9.0335,12.555,0.0366,0.1977,0.1786,FCC
3,8.879,12.33,0.0349,0.1969,0.1808,FCC
3,8.8275,12.255,0.0333,0.1959,0.1815,FCC
2,9.0815,12.655,0.0358,0.1968,0.1781,FCC
2,9.03,12.58,0.036,0.197,0.1788,FCC
4,8.927,12.43,0.0351,0.1964,0.1803,FCC
4,8.8755,12.355,0.0339,0.1957,0.181,FCC
4,8.095,11.59,0.0365,0.1466,0.07,FCC
3,7.9865,11.645,0.034,0.1515,0.0797,FCC
4,8.0035,11.44,0.0392,0.1614,0.0808,FCC
3,8.143,11.69,0.0371,0.1465,0.0695,FCC
4,8.0915,11.615,0.0352,0.1445,0.0701,FCC
4,8.1965,11.585,0.0355,0.1363,0.0557,FCC
4,8.0935,11.435,0.0314,0.1317,0.0561,FCC
4,7.9465,11.57,0.0407,0.1677,0.0867,FCC
4,8.086,11.82,0.0376,0.1542,0.0783,FCC
4,8.2255,12.07,0.0343,0.1372,0.0671,FCC
4,8.1225,11.92,0.0312,0.1337,0.0684,FCC
4,8.1395,11.715,0.0359,0.1446,0.0696,FCC
3,8.2275,11.89,0.0314,0.1246,0.0539,FCC
3,8.2735,12.17,0.0342,0.1367,0.0665,FCC
3,8.0825,11.845,0.0364,0.1521,0.0785,FCC
4,8.3615,12.345,0.0288,0.1141,0.0511,FCC
4,8.1705,12.02,0.0319,0.1337,0.0678,FCC
4,8.31,12.27,0.0283,0.1132,0.0516,FCC
3,8.119,11.945,0.0299,0.1313,0.0684,FCC
4,8.2585,12.195,0.0273,0.1117,0.052,FCC
4,8.224,11.915,0.0302,0.1225,0.0538,FCC
4,8.1725,11.84,0.0285,0.1201,0.0541,FCC
3,8.2925,11.785,0.0357,0.1356,0.055,FCC
4,8.138,11.56,0.0311,0.1294,0.0557,FCC
2,8.3215,12.27,0.0338,0.1361,0.0659,FCC
2,8.4095,12.445,0.0279,0.1131,0.0506,FCC
4,8.358,12.37,0.0278,0.1124,0.0511,FCC
3,8.3065,12.295,0.0272,0.1112,0.0516,FCC
4,8.287,11.99,0.0376,0.1456,0.0679,FCC
4,8.2355,11.915,0.0367,0.1443,0.0685,FCC
2,8.375,12.165,0.0317,0.1247,0.0527,FCC
4,8.184,11.84,0.0354,0.1425,0.0691,FCC
2,8.3235,12.09,0.0313,0.1237,0.0531,FCC
3,8.272,12.015,0.0304,0.1222,0.0535,FCC
2,8.3405,11.885,0.0354,0.1351,0.0546,FCC
3,8.289,11.81,0.0348,0.1339,0.055,FCC
3,8.2375,11.735,0.0336,0.132,0.0553,FCC
3,8.186,11.66,0.0319,0.1297,0.0555,FCC
4,8.1515,11.38,0.0348,0.1382,0.0571,FCC
4,8.3695,12.37,0.0331,0.1353,0.0652,FCC
1,8.4575,12.545,0.0268,0.1119,0.0501,FCC
1,8.406,12.47,0.0271,0.1115,0.0507,FCC
4,8.215,12.145,0.0311,0.1314,0.0674,FCC
2,8.3545,12.395,0.0269,0.1106,0.0511,FCC
3,8.303,12.32,0.0262,0.1091,0.0516,FCC
3,8.335,12.09,0.0372,0.1451,0.0673,FCC
1,8.423,12.265,0.0309,0.1239,0.0523,FCC
1,8.3715,12.19,0.0308,0.1231,0.0527,FCC
4,8.1805,11.865,0.0343,0.1403,0.0692,FCC
4,8.2685,12.04,0.0293,0.1201,0.0535,FCC
3,8.3885,11.985,0.0349,0.1345,0.0542,FCC
4,8.337,11.91,0.0346,0.1335,0.0546,FCC
2,8.2855,11.835,0.0338,0.1319,0.055,FCC
4,8.234,11.76,0.0325,0.1298,0.0552,FCC
4,8.1825,11.685,0.0307,0.1271,0.0554,FCC
3,8.1995,11.48,0.0357,0.1385,0.0569,FCC
1,8.4175,12.47,0.0322,0.1345,0.0646,FCC
1,8.366,12.395,0.0324,0.1339,0.0654,FCC
3,8.5055,12.645,0.0255,0.1106,0.0496,FCC
3,8.3145,12.32,0.0321,0.1329,0.0661,FCC
1,8.454,12.57,0.0261,0.1105,0.0502,FCC
4,8.263,12.245,0.0313,0.1313,0.0668,FCC
4,8.4025,12.495,0.0263,0.1098,0.0507,FCC
4,8.072,11.92,0.0328,0.1448,0.079,FCC
4,8.2115,12.17,0.0301,0.1292,0.0675,FCC
4,8.351,12.42,0.0259,0.1086,0.0511,FCC
4,8.16,12.095,0.0283,0.1264,0.0681,FCC
2,8.383,12.19,0.0366,0.1445,0.0666,FCC
4,8.3315,12.115,0.0365,0.1436,0.0674,FCC
3,8.471,12.365,0.0298,0.1229,0.0518,FCC
3,8.28,12.04,0.0359,0.1422,0.0681,FCC
1,8.4195,12.29,0.0301,0.1224,0.0523,FCC
4,8.368,12.215,0.03,0.1214,0.0527,FCC
3,8.177,11.89,0.0332,0.138,0.0693,FCC
4,8.3165,12.14,0.0294,0.1198,0.0531,FCC
4,8.1255,11.815,0.0312,0.1349,0.0699,FCC
1,8.4365,12.085,0.0341,0.1338,0.0538,FCC
3,8.385,12.01,0.0342,0.133,0.0542,FCC
4,8.3335,11.935,0.0338,0.1316,0.0546,FCC
3,8.282,11.86,0.0329,0.1298,0.0549,FCC
3,8.2305,11.785,0.0314,0.1273,0.0552,FCC
1,8.4655,12.57,0.0311,0.1336,0.0639,FCC
1,8.414,12.495,0.0316,0.1332,0.0647,FCC
1,8.3625,12.42,0.0317,0.1324,0.0655,FCC
3,8.502,12.67,0.0249,0.1094,0.0496,FCC
4,8.1715,12.095,0.0358,0.1481,0.0775,FCC
4,8.311,12.345,0.0313,0.131,0.0663,FCC
1,8.4505,12.595,0.0254,0.1089,0.0502,FCC
4,8.12,12.02,0.034,0.1454,0.0783,FCC
3,8.2595,12.27,0.0304,0.1292,0.067,FCC
3,8.3475,12.445,0.025,0.1064,0.0511,FCC
4,8.519,12.465,0.0285,0.1218,0.0512,FCC
3,8.4675,12.39,0.0292,0.1215,0.0518,FCC
2,8.416,12.315,0.0294,0.1208,0.0523,FCC
1,8.3645,12.24,0.0292,0.1195,0.0527,FCC
3,8.2615,12.09,0.0272,0.1151,0.0534,FCC
2,8.433,12.11,0.0335,0.1324,0.0538,FCC
1,8.3815,12.035,0.0335,0.1313,0.0542,FCC
4,8.33,11.96,0.0329,0.1297,0.0546,FCC
1,8.0795,15.04,0.0288,0.1079,0.1679,FCC
1,8.1515,14.62,0.0301,0.108,0.1566,FCC
2,8.1,14.545,0.0278,0.1048,0.1557,FCC
4,7.9045,15.31,0.022,0.0942,0.1746,FCC
4,7.9765,14.89,0.0224,0.0985,0.1658,FCC
1,7.901,15.6,0.028,0.1112,0.1833,FCC
4,7.9935,14.685,0.0278,0.113,0.1663,FCC
4,8.0655,14.265,0.0298,0.1149,0.1553,FCC
4,7.942,14.61,0.0258,0.1076,0.1651,FCC
4,8.014,14.19,0.0267,0.1107,0.1543,FCC
4,7.8905,14.535,0.0238,0.101,0.1639,FCC
4,8.2505,12.435,0.0296,0.1072,0.0765,FCC
1,8.0105,14.48,0.0332,0.126,0.1667,FCC
4,7.959,14.405,0.0309,0.1212,0.1656,FCC
4,7.8355,14.75,0.027,0.1099,0.1728,FCC
4,7.856,14.255,0.0265,0.1087,0.1632,FCC
4,7.928,13.835,0.0276,0.1139,0.1528,FCC
1,7.859,13.275,0.0325,0.1276,0.1516,FCC
1,8.2305,15.29,0.0335,0.1137,0.1705,FCC
1,8.251,14.795,0.0321,0.1101,0.158,FCC
4,8.1995,14.72,0.0307,0.108,0.1571,FCC
1,8.076,15.065,0.0272,0.1045,0.1676,FCC
3,8.148,14.645,0.0287,0.1051,0.1563,FCC
4,8.0965,14.57,0.0262,0.1015,0.1554,FCC
2,7.973,14.915,0.0215,0.0938,0.1654,FCC
1,8.0725,15.355,0.0332,0.1207,0.1784,FCC
4,8.021,15.28,0.0304,0.1163,0.1771,FCC
4,8.093,14.86,0.0321,0.1181,0.168,FCC
1,8.165,14.44,0.0333,0.1185,0.1568,FCC
1,7.9695,15.205,0.0282,0.1111,0.1759,FCC
2,8.0415,14.785,0.0292,0.114,0.167,FCC
1,8.1135,14.365,0.031,0.1154,0.1559,FCC
1,8.1855,13.945,0.032,0.1155,0.1424,FCC
2,7.99,14.71,0.0268,0.1091,0.1659,FCC
3,8.062,14.29,0.0283,0.1116,0.155,FCC
4,7.9385,14.635,0.0249,0.103,0.1647,FCC
4,8.247,12.46,0.0283,0.1049,0.0762,FCC
1,7.9555,14.43,0.0299,0.1172,0.1652,FCC
1,8.0995,13.59,0.0322,0.1221,0.1413,FCC
4,7.904,14.355,0.0276,0.1109,0.164,FCC
1,7.993,13.73,0.0337,0.1282,0.154,FCC
1,8.0135,13.235,0.0324,0.1263,0.1402,FCC
1,7.8005,13.515,0.0325,0.1288,0.1615,FCC
1,8.1035,15.66,0.0295,0.108,0.1787,FCC
1,8.196,14.745,0.0294,0.1053,0.1568,FCC
2,8.0725,15.09,0.0257,0.1007,0.1672,FCC
2,8.1445,14.67,0.0273,0.102,0.1559,FCC
1,8.1925,15.035,0.0352,0.1216,0.1697,FCC
1,8.069,15.38,0.0318,0.1173,0.1779,FCC
1,8.0175,15.305,0.0294,0.1125,0.1767,FCC
1,8.1615,14.465,0.032,0.1158,0.1565,FCC
4,8.295,12.56,0.0283,0.1044,0.0764,FCC
3,8.2435,12.485,0.027,0.1024,0.076,FCC
1,7.952,14.455,0.0288,0.1128,0.1647,FCC
1,7.8765,15.165,0.0316,0.122,0.1815,FCC
1,7.897,14.67,0.0315,0.1211,0.1736,FCC
1,7.8455,14.595,0.0288,0.1134,0.1722,FCC
1,7.9895,13.755,0.0327,0.1245,0.1536,FCC
1,8.01,13.26,0.0315,0.1227,0.1398,FCC
1,7.811,14.315,0.0298,0.1189,0.1712,FCC
1,7.9755,12.98,0.0343,0.1299,0.1394,FCC
4,7.7765,14.035,0.0303,0.1235,0.1701,FCC
4,7.8995,11.065,0.0304,0.1202,0.0749,FCC
1,7.742,13.755,0.0302,0.1273,0.169,FCC
1,7.814,13.335,0.0346,0.1361,0.1615,FCC
1,8.275,15.415,0.0325,0.1111,0.1708,FCC
1,8.1515,15.76,0.0305,0.1086,0.1794,FCC
1,8.2955,14.92,0.031,0.1075,0.1581,FCC
1,8.0965,15.975,0.0344,0.1205,0.1874,FCC
1,8.2095,14.565,0.0326,0.116,0.157,FCC
2,8.158,14.49,0.0306,0.1128,0.1561,FCC
1,8.0345,14.835,0.0269,0.1062,0.1662,FCC
2,8.1065,14.415,0.0282,0.1088,0.1552,FCC
4,7.911,15.18,0.0238,0.0939,0.1736,FCC
1,8.055,14.34,0.0253,0.1039,0.1542,FCC
4,8.24,12.51,0.0257,0.0997,0.0758,FCC
1,8.0105,15.62,0.0343,0.1236,0.1851,FCC
1,7.959,15.545,0.0315,0.1177,0.1836,FCC
1,8.031,15.125,0.0333,0.1219,0.1767,FCC
1,8.103,14.705,0.0345,0.1244,0.1677,FCC
1,7.9795,15.05,0.0309,0.1162,0.1754,FCC
1,8.1955,13.79,0.0341,0.1229,0.1423,FCC
1,7.9245,15.265,0.0331,0.1243,0.1825,FCC
1,7.945,14.77,0.0329,0.1231,0.1745,FCC
1,7.9655,14.275,0.0324,0.1218,0.1648,FCC
1,7.914,14.2,0.0299,0.1151,0.1636,FCC
4,7.8075,14.34,0.0284,0.1129,0.1706,FCC
1,7.845,13.64,0.0326,0.1263,0.1619,FCC
4,7.9475,11.165,0.0313,0.1223,0.0754,FCC
1,8.179,16.355,0.0327,0.112,0.1892,FCC
1,8.395,15.095,0.0311,0.1083,0.1594,FCC
1,8.1275,16.28,0.0305,0.1079,0.1879,FCC
1,8.076,16.205,0.0278,0.103,0.1865,FCC
1,8.148,15.785,0.0292,0.1052,0.179,FCC
4,8.0965,15.71,0.0266,0.1005,0.1778,FCC
3,8.189,14.795,0.0267,0.099,0.1562,FCC
4,8.3225,12.89,0.023,0.0861,0.0753,FCC
1,8.165,15.58,0.0342,0.1188,0.1794,FCC
1,8.237,15.16,0.0346,0.1192,0.1699,FCC
1,8.1135,15.505,0.0318,0.1147,0.1783,FCC
1,8.2575,14.665,0.0331,0.1161,0.1575,FCC
1,7.99,15.85,0.0282,0.1055,0.1842,FCC
1,8.278,14.17,0.0315,0.1128,0.143,FCC
2,8.1545,14.515,0.0293,0.1096,0.1558,FCC
4,8.103,14.44,0.0267,0.1051,0.1548,FCC
4,8.3395,12.685,0.027,0.1016,0.0764,FCC
4,8.2365,12.535,0.0243,0.0968,0.0755,FCC
1,8.0275,15.15,0.0322,0.1179,0.1762,FCC
1,8.12,14.235,0.0319,0.1188,0.1554,FCC
2,8.1505,12.18,0.0246,0.1042,0.0755,FCC
1,8.034,13.88,0.0327,0.122,0.1539,FCC
4,7.9785,11.47,0.0275,0.1107,0.0748,FCC
1,8.1755,16.38,0.0315,0.1087,0.1887,FCC
1,8.34,15.045,0.0298,0.1047,0.1583,FCC
4,8.2885,14.97,0.0288,0.1024,0.1575,FCC
4,8.1135,15.24,0.0241,0.0935,0.1671,FCC
3,8.3705,12.99,0.0227,0.0854,0.0755,FCC
1,8.326,14.27,0.0316,0.1126,0.1434,FCC
4,8.439,12.86,0.0268,0.1021,0.0768,FCC
4,8.0275,14.885,0.025,0.0969,0.1654,FCC
4,8.2845,12.635,0.0247,0.0968,0.0757,FCC
2,8.147,12.205,0.0232,0.1005,0.0752,FCC
4,8.1125,11.925,0.0257,0.1101,0.0756,FCC
4,8.078,11.645,0.0297,0.1185,0.076,FCC
4,8.47,13.165,0.0222,0.0857,0.0759,FCC
2,8.367,13.015,0.0217,0.0827,0.0752,FCC
2,8.3155,12.94,0.0206,0.08,0.0749,FCC
3,8.3325,12.735,0.0248,0.0966,0.0759,FCC
4,8.281,12.66,0.0235,0.0937,0.0755,FCC
4,8.1575,13.005,0.0205,0.0883,0.1023,FCC
2,8.2295,12.585,0.0217,0.0899,0.075,FCC
2,8.2465,12.38,0.0264,0.1053,0.0761,FCC
4,8.195,12.305,0.0243,0.1013,0.0755,FCC
3,8.1435,12.23,0.0217,0.0964,0.0749,FCC
3,8.621,13.415,0.0189,0.0838,0.0763,FCC
4,8.518,13.265,0.021,0.0843,0.0759,FCC
4,8.4665,13.19,0.0214,0.0835,0.0757,FCC
1,8.415,13.115,0.0212,0.082,0.0754,FCC
3,8.3635,13.04,0.0206,0.0796,0.075,FCC
4,8.312,12.965,0.0195,0.0764,0.0746,FCC
3,8.5865,13.135,0.0234,0.0998,0.0772,FCC
3,8.535,13.06,0.0245,0.0998,0.077,FCC
3,8.4835,12.985,0.0251,0.0993,0.0767,FCC
3,8.432,12.91,0.0251,0.0981,0.0764,FCC
2,8.3805,12.835,0.0247,0.0963,0.0761,FCC
2,8.329,12.76,0.0238,0.0937,0.0757,FCC
2,8.2775,12.685,0.0223,0.0903,0.0752,FCC
1,7.052,10.99,0.0423,0.1882,0.1202,BCC+FCC
1,7.4205,12.11,0.0405,0.1752,0.1155,BCC+FCC
1,7.437,12.295,0.0458,0.1947,0.0913,BCC+FCC
1,7.599,12.69,0.0419,0.1788,0.1153,BCC+FCC
1,7.4955,11.85,0.045,0.1879,0.1167,BCC+FCC
1,7.647,12.79,0.0428,0.1806,0.1154,BCC+FCC
4,7.962,11.17,0.0371,0.1698,0.1833,FCC
1,7.994,13.495,0.0501,0.1966,0.1152,BCC+FCC
1,7.9905,13.52,0.0494,0.1951,0.1152,BCC+FCC
1,7.5645,14.54,0.033,0.1565,0.2238,FCC
1,7.6575,13.555,0.0322,0.1445,0.187,FCC
1,7.547,13.79,0.0328,0.1535,0.2131,FCC
1,8.163,15.76,0.0379,0.1331,0.1949,FCC
1,8.3755,14.525,0.0346,0.1276,0.1564,FCC
4,8.613,12.925,0.0344,0.1529,0.1489,FCC
4,8.666,13.17,0.0347,0.1537,0.1565,FCC
4,8.6675,13.34,0.0357,0.1554,0.1636,FCC
4,8.616,13.265,0.0361,0.1567,0.1636,FCC
4,8.6595,12.855,0.0322,0.1495,0.1399,FCC
4,8.608,12.78,0.0325,0.1501,0.1403,FCC
2,8.7125,13.1,0.0323,0.1504,0.1484,FCC
4,8.661,13.025,0.033,0.1515,0.1487,FCC
3,8.7655,13.345,0.0325,0.1505,0.1561,FCC
3,8.714,13.27,0.0333,0.1521,0.1563,FCC
4,8.6625,13.195,0.0338,0.1534,0.1565,FCC
4,8.767,13.515,0.0334,0.1519,0.1634,FCC
2,8.6125,13.29,0.0352,0.1563,0.1636,FCC
4,8.614,13.46,0.0361,0.1582,0.1697,FCC
4,8.6545,12.71,0.0306,0.1467,0.1302,FCC
3,8.656,12.88,0.0314,0.1489,0.14,FCC
4,8.553,12.73,0.0312,0.1494,0.1407,FCC
4,8.7605,13.2,0.0309,0.1488,0.1481,FCC
4,8.6575,13.05,0.0322,0.151,0.1487,FCC
3,8.606,12.975,0.0325,0.1517,0.149,FCC
4,8.5545,12.9,0.0322,0.1519,0.1492,FCC
4,8.7105,13.295,0.0323,0.1519,0.1563,FCC
3,8.659,13.22,0.033,0.153,0.1565,FCC
4,8.6075,13.145,0.0333,0.1538,0.1567,FCC
4,8.815,13.615,0.0319,0.15,0.1633,FCC
3,8.7635,13.54,0.0329,0.1519,0.1634,FCC
3,8.712,13.465,0.0334,0.1536,0.1634,FCC
3,8.6605,13.39,0.0337,0.1549,0.1635,FCC
4,8.609,13.315,0.0342,0.1559,0.1635,FCC
4,8.8165,13.785,0.0328,0.1512,0.1698,FCC
4,8.765,13.71,0.0339,0.1534,0.1698,FCC
4,8.7135,13.635,0.0345,0.1552,0.1698,FCC
3,8.662,13.56,0.0346,0.1567,0.1697,FCC
2,8.6105,13.485,0.0351,0.1578,0.1696,FCC
4,8.7665,13.88,0.0349,0.1547,0.1755,FCC
4,8.7685,12.4,0.0405,0.1954,0.1691,FCC
1,8.7025,12.81,0.0294,0.1454,0.1298,FCC
3,8.651,12.735,0.0298,0.1458,0.1303,FCC
4,8.5995,12.66,0.0297,0.1458,0.1308,FCC
4,8.548,12.585,0.0292,0.1454,0.1313,FCC
3,8.704,12.98,0.03,0.1476,0.1397,FCC
1,8.6525,12.905,0.0306,0.1482,0.1401,FCC
2,8.601,12.83,0.0306,0.1484,0.1404,FCC
4,8.757,13.225,0.0299,0.1485,0.1482,FCC
1,8.7055,13.15,0.0307,0.1497,0.1485,FCC
3,8.6025,13,0.0315,0.1509,0.149,FCC
3,8.7585,13.395,0.031,0.1503,0.1562,FCC
4,8.707,13.32,0.0314,0.1516,0.1564,FCC
4,8.6555,13.245,0.0321,0.1526,0.1565,FCC
4,8.604,13.17,0.0324,0.1532,0.1567,FCC
4,8.8115,13.64,0.0315,0.1501,0.1632,FCC
2,8.76,13.565,0.0321,0.1519,0.1633,FCC
2,8.7085,13.49,0.0322,0.1534,0.1634,FCC
2,8.657,13.415,0.0329,0.1545,0.1635,FCC
4,8.6055,13.34,0.0333,0.1553,0.1635,FCC
4,8.813,13.81,0.0325,0.1514,0.1698,FCC
2,8.71,13.66,0.0334,0.1551,0.1697,FCC
1,8.6585,13.585,0.0337,0.1564,0.1697,FCC
2,8.607,13.51,0.0342,0.1573,0.1696,FCC
3,8.7505,12.91,0.0279,0.1441,0.1294,FCC
1,8.699,12.835,0.0287,0.1447,0.1299,FCC
3,8.6475,12.76,0.029,0.1449,0.1304,FCC
