Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,
4,1.95,4.8175,0.0336,0.1713,0.0819,0.1574,0.3187,0.1515,FCC
4,1.95,4.7425,0.036,0.183,0.1012,0.1604,0.3217,0.1506,FCC
3,1.95,4.94,0.0341,0.1721,0.0752,0.1543,0.3351,0.1428,FCC
4,1.95,4.8325,0.0396,0.1867,0.1011,0.1579,0.3352,0.1436,FCC
3,1.95,4.8,0.0381,0.1852,0.1014,0.1588,0.3341,0.146,FCC
1,1.95,4.6225,0.0364,0.1727,0.0761,0.2527,0.1592,0.1531,FCC
1,1.95,4.59,0.0341,0.1702,0.0743,0.2527,0.1589,0.1531,FCC
1,1.95,4.5575,0.0324,0.1673,0.0719,0.2527,0.1586,0.153,FCC
1,1.95,4.53,0.0327,0.1661,0.0733,0.2641,0.1928,0.1792,FCC
1,1.95,4.5825,0.0333,0.1679,0.0738,0.2527,0.1936,0.1727,FCC
4,1.95,4.7725,0.0318,0.1604,0.0622,0.1764,0.2254,0.1446,FCC
4,1.95,4.5875,0.0302,0.1611,0.0706,0.2401,0.2472,0.192,FCC
2,1.95,4.645,0.0325,0.1647,0.0732,0.2399,0.2697,0.1987,FCC
4,1.95,4.8225,0.0318,0.1593,0.0596,0.1756,0.2742,0.1591,FCC
1,1.95,4.82,0.0372,0.1679,0.0676,0.2253,0.2925,0.19,FCC
1,1.95,4.6825,0.0374,0.1692,0.0765,0.2525,0.2886,0.2105,FCC
4,1.95,4.815,0.0308,0.1581,0.0593,0.1757,0.2939,0.1641,FCC
4,1.95,4.84,0.0305,0.1575,0.0572,0.1753,0.3117,0.1655,FCC
4,1.95,4.775,0.0287,0.1555,0.0602,0.1764,0.3104,0.1691,FCC
2,1.95,4.7425,0.027,0.1539,0.0608,0.1769,0.3097,0.1708,FCC
3,1.95,4.93,0.0291,0.1567,0.0473,0.1737,0.3289,0.1609,FCC
2,1.95,4.865,0.03,0.1568,0.0545,0.1749,0.3273,0.165,FCC
4,1.95,4.8325,0.0297,0.1562,0.057,0.1754,0.3265,0.1669,FCC
3,1.95,4.8,0.0289,0.1552,0.0587,0.176,0.3257,0.1689,FCC
4,1.95,4.735,0.0259,0.1519,0.0604,0.177,0.324,0.1727,FCC
4,2,4.805,0.0383,0.2071,0.2209,0.1807,0.2416,0.1354,FCC
4,2,4.83,0.0387,0.2066,0.2184,0.1801,0.2648,0.1411,FCC
4,2,4.855,0.0389,0.2061,0.2158,0.1795,0.2852,0.1442,FCC
4,2,4.8225,0.0378,0.2056,0.2185,0.1804,0.2845,0.1461,FCC
4,2,4.9125,0.0391,0.2055,0.2102,0.178,0.3038,0.1429,FCC
4,2,4.8475,0.0381,0.2052,0.2159,0.1797,0.3024,0.1471,FCC
4,2,4.7825,0.0351,0.2035,0.2211,0.1814,0.3009,0.1512,FCC
3,2,4.9375,0.0384,0.2047,0.2073,0.1774,0.3194,0.1415,FCC
4,2,4.84,0.0372,0.2041,0.216,0.18,0.3169,0.1484,FCC
3,2,4.8075,0.0359,0.2033,0.2186,0.1808,0.3161,0.1506,FCC
3,2,4.775,0.034,0.2021,0.2211,0.1816,0.3152,0.1527,FCC
1,2,4.6325,0.0369,0.2026,0.2253,0.2607,0.1627,0.1548,FCC
4,2,4.4425,0.0321,0.1947,0.2367,0.2957,0.1601,0.1731,FCC
4,2,4.6525,0.0349,0.2007,0.2236,0.2472,0.163,0.1475,FCC
4,2,4.5675,0.0339,0.1982,0.2291,0.261,0.162,0.1553,FCC
1,2,4.5975,0.0369,0.2007,0.227,0.2732,0.2235,0.1917,FCC
1,2,4.5075,0.0337,0.1378,0.1057,0.2148,0.1635,0.1614,FCC
1,2,4.5175,0.0369,0.1516,0.1167,0.2145,0.1823,0.1621,FCC
1,2,4.6125,0.0362,0.1422,0.1095,0.1937,0.1652,0.1496,FCC
4,2,4.6325,0.035,0.14,0.1083,0.1802,0.1655,0.1427,FCC
1,2,4.495,0.0306,0.1311,0.101,0.2039,0.1635,0.1557,FCC
4,2,4.5575,0.0268,0.116,0.0893,0.1814,0.1422,0.1422,FCC
4,2,4.5675,0.0303,0.1328,0.1029,0.1795,0.1647,0.143,FCC
3,2,4.61,0.0289,0.1173,0.0908,0.1692,0.1427,0.1359,FCC
2,2,4.535,0.0286,0.1281,0.0994,0.1792,0.1643,0.1431,FCC
1,2,4.5425,0.0381,0.153,0.1197,0.2147,0.2113,0.1794,FCC
1,2,4.605,0.0347,0.1395,0.1091,0.1935,0.1977,0.1686,FCC
1,2,4.52,0.0318,0.1326,0.1043,0.2042,0.1962,0.1758,FCC
1,2,4.615,0.0311,0.1205,0.0942,0.1825,0.1805,0.1643,FCC
1,2,4.6675,0.0321,0.1204,0.0943,0.1701,0.1812,0.1572,FCC
4,2,4.53,0.027,0.1145,0.0901,0.1922,0.1793,0.1708,FCC
2,2,4.5925,0.0312,0.1337,0.1054,0.1797,0.1978,0.1621,FCC
4,2,4.635,0.03,0.1177,0.0926,0.1696,0.1808,0.1575,FCC
2,2,4.55,0.0254,0.1123,0.0888,0.1811,0.1797,0.1647,FCC
4,2,4.6025,0.0274,0.1142,0.0903,0.169,0.1805,0.1579,FCC
4,2,4.4125,0.0217,0.0946,0.0768,0.1985,0.1775,0.1762,FCC
1,2,4.705,0.0353,0.1255,0.0979,0.1842,0.2121,0.179,FCC
1,2,4.62,0.0333,0.1235,0.0973,0.1943,0.2107,0.1868,FCC
1,2,4.6725,0.034,0.1234,0.097,0.1836,0.2117,0.1796,FCC
1,2,4.565,0.0318,0.1323,0.1061,0.1929,0.2242,0.1838,FCC
4,2,4.595,0.0258,0.1109,0.0899,0.1687,0.2109,0.1742,FCC
4,2,4.6875,0.0314,0.1436,0.1162,0.1106,0.2408,0.1412,FCC
4,2,4.7725,0.027,0.1058,0.0868,0.0903,0.2137,0.1381,FCC
1,2,4.6975,0.0343,0.1233,0.0976,0.1839,0.2379,0.191,FCC
1,2,4.6125,0.032,0.1206,0.0969,0.194,0.2362,0.1995,FCC
4,2,4.4525,0.0333,0.1453,0.121,0.2222,0.2614,0.205,FCC
1,2,4.6425,0.0336,0.1351,0.1091,0.1801,0.2492,0.1858,FCC
1,2,4.685,0.0314,0.1179,0.0948,0.1702,0.2381,0.1843,FCC
1,2,4.695,0.0345,0.1356,0.1092,0.1651,0.2506,0.1767,FCC
1,2,4.61,0.0312,0.1314,0.1071,0.1798,0.2487,0.1867,FCC
4,2,4.83,0.027,0.1057,0.0866,0.09,0.2411,0.1469,FCC
3,2,4.7975,0.0267,0.105,0.0868,0.0901,0.2407,0.1483,FCC
3,2,4.7225,0.0286,0.1249,0.1031,0.1017,0.2523,0.1502,FCC
4,2,4.765,0.0258,0.1037,0.0865,0.0902,0.2403,0.1496,FCC
1,2,4.7225,0.0343,0.1231,0.0979,0.1843,0.2607,0.1992,FCC
1,2,4.5625,0.033,0.1317,0.109,0.2048,0.2664,0.2103,FCC
4,2,4.5725,0.0281,0.113,0.0944,0.1929,0.2574,0.2101,FCC
3,2,4.8225,0.026,0.1041,0.0864,0.09,0.2644,0.1551,FCC
3,2,4.79,0.0256,0.103,0.0865,0.0901,0.2639,0.1566,FCC
4,2,4.63,0.0348,0.1497,0.125,0.118,0.2872,0.1557,FCC
4,2,4.715,0.0273,0.1223,0.1028,0.1017,0.2731,0.1576,FCC
4,2,4.7575,0.0246,0.1013,0.0862,0.0901,0.2634,0.158,FCC
4,2,4.8475,0.0251,0.103,0.0856,0.0898,0.2852,0.1592,FCC
4,2,4.73,0.0325,0.1419,0.1184,0.11,0.2986,0.1577,FCC
2,2,4.815,0.0251,0.1022,0.0861,0.0899,0.2847,0.1608,FCC
4,2,4.655,0.0355,0.151,0.1272,0.1176,0.3016,0.1575,FCC
3,2,4.74,0.028,0.1225,0.1036,0.1014,0.2918,0.1612,FCC
3,2,4.7825,0.0245,0.1008,0.0862,0.09,0.2841,0.1625,FCC
4,2,4.655,0.0246,0.1183,0.1023,0.1269,0.2893,0.1745,FCC
2,2,4.7075,0.026,0.1195,0.1025,0.1017,0.2911,0.1629,FCC
3,2,4.75,0.0235,0.0988,0.0858,0.09,0.2835,0.1641,FCC
1,2,4.655,0.0326,0.1186,0.0986,0.1947,0.2943,0.2202,FCC
1,2,4.7075,0.0324,0.1186,0.0973,0.1838,0.2965,0.211,FCC
4,2,4.8725,0.024,0.1018,0.0845,0.0896,0.3037,0.1611,FCC
4,2,4.7975,0.0295,0.1245,0.1045,0.1008,0.3089,0.1607,FCC
4,2,4.68,0.0361,0.1521,0.1291,0.1171,0.3134,0.1574,FCC
3,2,4.765,0.0284,0.1225,0.1041,0.1012,0.3081,0.1626,FCC
3,2,4.8075,0.0241,0.1002,0.0859,0.0899,0.3023,0.1647,FCC
4,2,4.67,0.0231,0.0995,0.0887,0.1369,0.2979,0.1892,FCC
2,2,4.7325,0.0268,0.1199,0.1033,0.1014,0.3073,0.1644,FCC
3,2,4.7,0.0247,0.1165,0.1021,0.1017,0.3064,0.1663,FCC
3,2,4.7425,0.0223,0.0959,0.0855,0.09,0.3009,0.1682,FCC
3,2,4.93,0.0214,0.1001,0.0812,0.0893,0.3205,0.159,FCC
3,2,4.8975,0.0226,0.1005,0.0829,0.0895,0.3198,0.1611,FCC
4,2,4.6925,0.0234,0.1133,0.1018,0.1017,0.3189,0.168,FCC
1,2,4.5425,0.0351,0.1809,0.0868,0.2177,0.261,0.2017,FCC
1,2,4.5825,0.0325,0.1778,0.0836,0.1936,0.2619,0.1882,FCC
1,2,4.5875,0.0348,0.1799,0.0873,0.2066,0.2839,0.2048,FCC
1,2,4.5845,0.0456,0.1902,0.1958,0.1076,0.3994,0.1688,BCC+FCC
1,2,4.6095,0.0464,0.1921,0.1983,0.1072,0.4063,0.1656,BCC+FCC
1,2,4.6445,0.0423,0.1829,0.1936,0.0983,0.4135,0.1677,BCC+FCC
3,1.65,4.1865,0.0455,0.631,0.3002,0.1458,0.3571,0.0556,BCC
3,1.65,4.204,0.0449,0.6231,0.3089,0.1468,0.3603,0.0605,BCC
4,1.8,4.155,0.0384,0.6702,0.2869,0.1371,0.418,0.0701,BCC
3,1.8,4.1475,0.0388,0.692,0.2583,0.136,0.4015,0.066,BCC
3,1.8,4.165,0.0384,0.6838,0.2631,0.1365,0.3951,0.0692,BCC
4,1.75,4.1475,0.0385,0.6389,0.3085,0.1333,0.4193,0.0644,BCC
4,1.75,4.14,0.0398,0.6605,0.2848,0.1323,0.4029,0.0612,BCC
3,1.75,4.18,0.0341,0.5879,0.3605,0.1378,0.4564,0.0749,BCC
3,1.75,4.1575,0.0393,0.6524,0.2931,0.1345,0.4079,0.0662,BCC
3,1.75,4.15,0.0403,0.6741,0.2664,0.1333,0.3912,0.0623,BCC
3,1.75,4.1825,0.0374,0.6229,0.3248,0.1367,0.4225,0.0738,BCC
4,1.75,4.1675,0.0398,0.666,0.2729,0.1343,0.3894,0.0662,BCC
2,1.75,4.185,0.0394,0.6579,0.2782,0.1342,0.3824,0.0696,BCC
3,1.7,4.1575,0.0364,0.5993,0.3257,0.131,0.4125,0.061,BCC
3,1.7,4.175,0.0359,0.5913,0.3382,0.1338,0.4255,0.0672,BCC
2,1.7,4.1675,0.0379,0.6128,0.3178,0.1327,0.4091,0.0645,BCC
3,1.65,4.1775,0.0359,0.573,0.3314,0.1307,0.4036,0.061,BCC
4,1.65,4.17,0.0377,0.5946,0.3136,0.1296,0.387,0.0585,BCC
3,1.65,4.1625,0.0396,0.6162,0.2935,0.1285,0.37,0.0555,BCC
3,1.65,4.2025,0.0336,0.5435,0.3623,0.134,0.4315,0.0694,BCC
4,1.65,4.195,0.0354,0.5651,0.3452,0.1328,0.4152,0.0672,BCC
4,1.65,4.1875,0.0372,0.5867,0.3261,0.1316,0.3987,0.0646,BCC
4,1.65,4.18,0.039,0.6082,0.3052,0.1304,0.3818,0.0615,BCC
3,1.65,4.1725,0.041,0.6298,0.2821,0.1292,0.3646,0.0578,BCC
3,1.65,4.205,0.0366,0.5787,0.3368,0.1325,0.4018,0.0697,BCC
4,1.65,4.1975,0.0384,0.6003,0.315,0.1312,0.385,0.0665,BCC
2,1.65,4.19,0.0404,0.6219,0.2912,0.1299,0.3678,0.0627,BCC
3,1.6,4.1975,0.0348,0.5466,0.3358,0.1299,0.3943,0.0609,BCC
4,1.6,4.215,0.0342,0.5386,0.351,0.1313,0.4047,0.0672,BCC
3,1.6,4.2,0.0382,0.5819,0.3138,0.1288,0.3709,0.0616,BCC
3,1.6,4.225,0.0356,0.5524,0.3451,0.1302,0.3902,0.0698,BCC
1,1.9,4.55,0.029,0.1127,0.076,0.1679,0.1338,0.1204,FCC
4,1.85,4.525,0.0306,0.1178,0.0762,0.1675,0.1648,0.1296,FCC
4,1.8,4.5175,0.0308,0.1257,0.0788,0.1649,0.1764,0.1417,FCC
1,1.5,4.53,0.0494,0.1593,0.0935,0.1548,0.3082,0.1862,BCC+FCC
1,1.45,4.4725,0.0495,0.1615,0.0922,0.1438,0.3239,0.1901,BCC+FCC
1,1.45,4.5125,0.047,0.1552,0.0886,0.1381,0.324,0.1793,BCC+FCC
1,1.45,4.445,0.05,0.1689,0.095,0.1469,0.3237,0.2008,BCC+FCC
1,1.45,4.6025,0.0502,0.162,0.0946,0.1456,0.3226,0.1882,BCC+FCC
1,1.45,4.465,0.0489,0.1664,0.0935,0.1466,0.3234,0.1969,BCC+FCC
1,1.45,4.485,0.0478,0.1638,0.092,0.1438,0.3231,0.1926,BCC+FCC
1,1.4,4.525,0.052,0.1675,0.0957,0.1426,0.3401,0.1969,BCC+FCC
1,1.4,4.5325,0.0483,0.1613,0.0907,0.1298,0.3396,0.1866,BCC+FCC
1,1.35,4.545,0.0535,0.1731,0.0977,0.1364,0.3521,0.2035,BCC+FCC
1,1.35,4.565,0.0522,0.1702,0.0959,0.1303,0.3516,0.1987,BCC+FCC
3,1.6,4.565,0.0399,0.1525,0.0895,0.1421,0.2309,0.174,BCC+FCC
1,1.9,4.6125,0.0372,0.167,0.0959,0.2256,0.1381,0.1118,FCC
1,1.9,4.58,0.0352,0.1638,0.0948,0.2254,0.1385,0.1103,FCC
1,1.85,4.5675,0.035,0.1644,0.095,0.2129,0.1539,0.118,FCC
1,1.9,4.514,0.0341,0.1467,0.1242,0.182,0.2075,0.1623,FCC
1,1.9,4.597,0.0443,0.1924,0.184,0.1158,0.3191,0.1806,BCC+FCC
1,1.85,4.597,0.0463,0.1965,0.1847,0.1163,0.3301,0.1943,BCC+FCC
4,1.9,4.5,0.0325,0.1682,0.0692,0.2529,0.1467,0.1382,FCC
4,1.9,4.5525,0.0335,0.171,0.0716,0.2407,0.1462,0.1341,FCC
1,1.85,4.5325,0.0368,0.1776,0.077,0.2533,0.1697,0.1509,FCC
1,1.85,4.5,0.0346,0.1731,0.0727,0.2532,0.1699,0.15,FCC
1,1.95,4.555,0.0356,0.1448,0.1066,0.1929,0.1565,0.1373,FCC
1,1.95,4.5975,0.0335,0.1316,0.0958,0.1821,0.1287,0.1261,FCC
4,1.95,4.4275,0.0317,0.1416,0.104,0.2133,0.1792,0.1507,FCC
1,1.95,4.5225,0.0334,0.1399,0.1028,0.1924,0.1564,0.1366,FCC
4,1.95,4.575,0.0345,0.1431,0.1058,0.1798,0.1562,0.1319,FCC
1,1.95,4.5,0.0346,0.1477,0.1092,0.1884,0.1792,0.1408,FCC
1,1.95,4.5325,0.0287,0.1231,0.0891,0.1806,0.1287,0.1241,FCC
4,1.95,4.585,0.0293,0.1256,0.0916,0.1687,0.1281,0.1202,FCC
4,1.95,4.5,0.0268,0.1175,0.0846,0.1798,0.1287,0.1229,FCC
1,1.95,4.5525,0.0273,0.1212,0.088,0.1681,0.1281,0.1193,FCC
1,1.9,4.49,0.033,0.1397,0.0998,0.1917,0.1802,0.1483,FCC
4,1.9,4.5325,0.0316,0.1303,0.0916,0.1802,0.1541,0.1364,FCC
1,1.9,4.5425,0.035,0.1447,0.104,0.1794,0.1795,0.1449,FCC
2,1.9,4.51,0.0328,0.1389,0.0994,0.179,0.1796,0.1442,FCC
1,1.9,4.5525,0.0305,0.1287,0.0906,0.1679,0.1533,0.1327,FCC
1,1.85,4.48,0.0363,0.1564,0.1115,0.2019,0.2199,0.1701,FCC
1,1.85,4.5125,0.0342,0.1377,0.0946,0.1904,0.1731,0.149,FCC
1,1.85,4.5225,0.037,0.1509,0.1063,0.1921,0.1974,0.16,FCC
1,1.85,4.49,0.0343,0.1444,0.1012,0.1915,0.1976,0.159,FCC
1,1.85,4.5,0.0314,0.1304,0.0889,0.179,0.1724,0.1454,FCC
4,1.85,4.5525,0.0332,0.1354,0.093,0.1677,0.1711,0.144,FCC
4,1.85,4.52,0.031,0.1294,0.0882,0.1669,0.1714,0.1428,FCC
1,1.8,4.49,0.035,0.1485,0.1025,0.1913,0.2105,0.1682,FCC
1,1.75,4.49,0.0351,0.152,0.1035,0.1911,0.2201,0.1762,FCC
1,1.75,4.5,0.0337,0.1402,0.0923,0.178,0.195,0.1612,FCC
1,1.95,4.5125,0.0384,0.2149,0.1562,0.2121,0.1736,0.1366,FCC
1,1.95,4.5725,0.0366,0.1877,0.0856,0.1938,0.1971,0.1488,FCC
1,1.9,4.54,0.0376,0.1898,0.0848,0.1936,0.2147,0.1609,FCC
2,1.55,4.1465,0.0413,0.5067,0.2945,0.1464,0.4876,0.109,BCC
4,1.55,4.164,0.0407,0.4986,0.3078,0.1489,0.4791,0.1114,BCC
4,1.8,4.078,0.0372,0.5089,0.3586,0.1335,0.6358,0.1118,BCC
3,1.75,4.098,0.037,0.484,0.3547,0.1396,0.627,0.1117,BCC
4,1.75,4.0905,0.0385,0.5054,0.3486,0.1394,0.6118,0.1108,BCC
3,1.65,4.123,0.0385,0.4762,0.3351,0.1481,0.5783,0.1097,BCC
4,1.8,4.107,0.0393,0.4732,0.3814,0.144,0.6597,0.1124,BCC
3,1.8,4.092,0.0424,0.5168,0.3746,0.144,0.6291,0.1111,BCC
3,1.75,4.1485,0.0391,0.4254,0.377,0.1599,0.6595,0.1121,BCC
4,1.8,4.15,0.0425,0.4297,0.3981,0.1609,0.6769,0.1121,BCC
4,1.65,4.14,0.0432,0.5643,0.2842,0.1459,0.4658,0.1118,BCC
3,1.55,4.1625,0.0424,0.5232,0.2929,0.1423,0.4537,0.1106,BCC
4,1.75,4.11,0.0385,0.4814,0.3272,0.1282,0.6206,0.1168,BCC
4,1.75,4.1025,0.0401,0.5035,0.3294,0.128,0.6053,0.1159,BCC
3,1.75,4.0875,0.0432,0.547,0.3204,0.1275,0.5748,0.1135,BCC
3,1.75,4.13,0.0425,0.4732,0.3212,0.1343,0.6093,0.1186,BCC
4,1.75,4.1225,0.0443,0.4956,0.3297,0.1341,0.594,0.1176,BCC
4,1.65,4.1,0.0382,0.5124,0.2954,0.1285,0.5508,0.1106,BCC
3,1.65,4.135,0.0384,0.4713,0.3096,0.1371,0.5701,0.1148,BCC
2,1.65,4.1275,0.0404,0.4935,0.3102,0.1367,0.5548,0.1135,BCC
4,1.65,4.1625,0.0402,0.4384,0.2916,0.1444,0.5734,0.1175,BCC
3,1.65,4.155,0.0411,0.4613,0.3058,0.144,0.5581,0.1163,BCC
4,1.65,4.1475,0.0428,0.4839,0.3123,0.1437,0.5428,0.115,BCC
4,1.6,4.1325,0.0425,0.5104,0.2954,0.1389,0.5139,0.1105,BCC
4,1.55,4.1525,0.0399,0.4831,0.2897,0.1414,0.5035,0.1105,BCC
3,1.55,4.145,0.0423,0.5052,0.2842,0.1408,0.488,0.1087,BCC
3,1.55,4.165,0.0431,0.4943,0.2926,0.1486,0.4752,0.1098,BCC
1,1.9,4.62,0.0383,0.1659,0.0925,0.2293,0.1515,0.1078,FCC
1,1.9,4.6075,0.0345,0.1617,0.0899,0.217,0.1509,0.1004,FCC
1,1.7,4.6155,0.0472,0.1919,0.1689,0.1234,0.3262,0.1152,BCC+FCC
1,1.95,4.6895,0.0413,0.1926,0.1882,0.0984,0.3026,0.1379,BCC+FCC
1,1.9,4.5165,0.0326,0.1448,0.1231,0.1754,0.2085,0.1457,FCC
1,1.85,4.717,0.0513,0.2028,0.1928,0.1369,0.3299,0.1455,BCC+FCC
1,1.75,4.687,0.0517,0.2042,0.1921,0.1293,0.3515,0.1346,BCC+FCC
1,1.65,4.593,0.0478,0.1829,0.162,0.1455,0.3259,0.1377,BCC+FCC
1,1.6,4.5555,0.0468,0.1822,0.1601,0.1322,0.3324,0.1279,BCC+FCC
4,1.85,4.745,0.0452,0.1988,0.1034,0.1787,0.2092,0.0909,FCC
1,1.95,4.51,0.0349,0.1446,0.1055,0.2067,0.1511,0.1355,FCC
1,1.95,4.5625,0.0361,0.146,0.1076,0.1964,0.1519,0.1296,FCC
1,1.95,4.53,0.0336,0.1427,0.1046,0.1958,0.1515,0.1294,FCC
1,1.95,4.5825,0.0351,0.1438,0.1065,0.1839,0.1523,0.1227,FCC
1,1.95,4.55,0.0319,0.1407,0.1036,0.1834,0.1519,0.1225,FCC
1,1.95,4.5175,0.0302,0.1369,0.1002,0.1829,0.1514,0.1224,FCC
1,1.9,4.535,0.0307,0.1264,0.089,0.1739,0.1557,0.1195,FCC
1,1.95,4.52,0.0383,0.2153,0.1527,0.2155,0.1726,0.1304,FCC
1,1.95,4.5275,0.0355,0.1868,0.084,0.2093,0.1972,0.1462,FCC
1,1.95,4.5475,0.0338,0.1851,0.0825,0.1974,0.1973,0.14,FCC
1,1.9,4.535,0.0384,0.192,0.0871,0.2122,0.2177,0.1513,FCC
4,1.7,4.0975,0.0394,0.6792,0.2919,0.1297,0.6455,0.071,BCC
2,1.65,4.1175,0.039,0.6509,0.2895,0.1336,0.635,0.0709,BCC
2,1.65,4.11,0.0405,0.6732,0.28,0.1331,0.6196,0.0693,BCC
4,1.6,4.13,0.0397,0.6449,0.2781,0.1361,0.6091,0.0692,BCC
4,1.55,4.1425,0.0402,0.6388,0.2661,0.1378,0.5832,0.0672,BCC
3,1.55,4.135,0.0422,0.661,0.255,0.1371,0.5679,0.0649,BCC
3,1.5,4.1625,0.0382,0.6106,0.2619,0.1394,0.5724,0.0672,BCC
4,1.5,4.1475,0.0427,0.6549,0.2417,0.1378,0.5419,0.0623,BCC
3,1.75,4.22,0.0474,0.4943,0.4467,0.2011,0.503,0.0652,BCC
4,1.95,4.064,0.0401,0.7511,0.3744,0.1552,0.5138,0.072,BCC
3,1.95,4.093,0.0431,0.6989,0.4233,0.1661,0.5368,0.0737,BCC
4,1.95,4.078,0.0446,0.7446,0.3899,0.1657,0.5071,0.0708,BCC
2,1.9,4.0625,0.0368,0.7489,0.3469,0.1466,0.499,0.0714,BCC
4,1.85,4.055,0.0358,0.7138,0.3396,0.1318,0.411,0.0584,BCC
2,1.85,4.0725,0.0351,0.7057,0.3568,0.1419,0.4727,0.0662,BCC
4,1.85,4.075,0.038,0.7431,0.335,0.1487,0.4767,0.0694,BCC
4,1.8,4.075,0.0345,0.6855,0.3407,0.1364,0.4116,0.0582,BCC
2,1.8,4.0675,0.0368,0.708,0.3284,0.1359,0.3975,0.057,BCC
3,1.8,4.0925,0.0342,0.6775,0.3598,0.1451,0.4682,0.0661,BCC
4,1.8,4.085,0.0361,0.6999,0.3456,0.1446,0.4534,0.0647,BCC
4,1.8,4.0775,0.0382,0.7226,0.3292,0.144,0.4383,0.063,BCC
3,1.8,4.1025,0.0354,0.6919,0.3601,0.1513,0.4845,0.0713,BCC
2,1.8,4.095,0.0375,0.7145,0.3424,0.1507,0.4691,0.0694,BCC
2,1.8,4.0875,0.0392,0.7373,0.3229,0.15,0.4537,0.0672,BCC
3,1.8,4.0975,0.04,0.7521,0.3108,0.1542,0.4538,0.0697,BCC
4,1.75,4.095,0.035,0.6574,0.34,0.1401,0.4111,0.0579,BCC
3,1.75,4.0875,0.0361,0.6796,0.3298,0.1396,0.3967,0.0568,BCC
3,1.75,4.08,0.0378,0.7021,0.317,0.1391,0.3819,0.0553,BCC
2,1.75,4.1125,0.0347,0.6495,0.3613,0.1477,0.4631,0.0659,BCC
4,1.75,4.0975,0.0371,0.6941,0.3342,0.1464,0.4329,0.0629,BCC
2,1.75,4.09,0.0393,0.7167,0.3173,0.1458,0.4174,0.0609,BCC
3,1.75,4.1225,0.0355,0.6638,0.365,0.1528,0.4767,0.0712,BCC
4,1.75,4.115,0.0366,0.6861,0.3488,0.1521,0.4613,0.0694,BCC
4,1.75,4.1075,0.0386,0.7086,0.3306,0.1514,0.4456,0.0672,BCC
2,1.75,4.1,0.0404,0.7314,0.3104,0.1506,0.4298,0.0646,BCC
3,1.75,4.1325,0.0362,0.6781,0.3611,0.1563,0.4757,0.0749,BCC
3,1.75,4.125,0.038,0.7006,0.3418,0.1555,0.46,0.0726,BCC
2,1.75,4.1175,0.0399,0.7232,0.3208,0.1547,0.4441,0.0698,BCC
3,1.75,4.11,0.0413,0.7462,0.2978,0.1538,0.428,0.0666,BCC
3,1.75,4.1425,0.0373,0.6925,0.3514,0.1584,0.4649,0.0772,BCC
2,1.75,4.1275,0.0408,0.738,0.3059,0.1566,0.433,0.0709,BCC
3,1.75,4.1375,0.0414,0.7528,0.2864,0.1572,0.4149,0.0705,BCC
4,1.75,4.13,0.042,0.7761,0.2578,0.1562,0.3984,0.0658,BCC
3,1.75,4.155,0.0409,0.7445,0.2916,0.1578,0.4079,0.0733,BCC
3,1.75,4.165,0.0413,0.7594,0.2663,0.1563,0.3801,0.0704,BCC
4,1.7,4.1,0.0375,0.6738,0.3187,0.1419,0.3798,0.0552,BCC
3,1.7,4.0925,0.0389,0.6962,0.3052,0.1413,0.3643,0.0533,BCC
2,1.7,4.125,0.0358,0.6437,0.3507,0.1489,0.4423,0.0645,BCC
4,1.7,4.1175,0.0371,0.6658,0.3378,0.1482,0.4269,0.0628,BCC
4,1.7,4.1025,0.0404,0.7108,0.305,0.1468,0.3953,0.0585,BCC
4,1.7,4.135,0.0367,0.6579,0.3539,0.153,0.453,0.0693,BCC
2,1.65,4.135,0.0341,0.6016,0.3315,0.1453,0.4073,0.0574,BCC
4,1.65,4.12,0.0372,0.6456,0.3186,0.144,0.3769,0.055,BCC
3,1.65,4.1525,0.0336,0.5938,0.3588,0.1509,0.4515,0.0656,BCC
3,1.65,4.1225,0.0398,0.6823,0.3106,0.1479,0.3885,0.0585,BCC
4,1.65,4.115,0.0415,0.7048,0.2923,0.1471,0.372,0.0556,BCC
4,1.65,4.155,0.0363,0.63,0.3578,0.1534,0.4445,0.0693,BCC
4,1.65,4.1475,0.0378,0.6521,0.3426,0.1525,0.4286,0.0672,BCC
4,1.65,4.14,0.0394,0.6743,0.3253,0.1516,0.4124,0.0647,BCC
3,1.65,4.125,0.0429,0.7195,0.2844,0.1499,0.3793,0.0583,BCC
4,1.65,4.1575,0.0389,0.6664,0.3378,0.1542,0.424,0.07,BCC
4,1.65,4.1425,0.0423,0.7114,0.295,0.1523,0.3909,0.0633,BCC
2,1.65,4.1675,0.04,0.6808,0.3271,0.1547,0.4106,0.0713,BCC
3,1.65,4.16,0.0417,0.7033,0.304,0.1536,0.394,0.0676,BCC
3,1.6,4.155,0.0326,0.5737,0.323,0.147,0.4042,0.0572,BCC
3,1.6,4.1425,0.0392,0.654,0.3148,0.1484,0.3812,0.0584,BCC
4,1.55,4.1675,0.0325,0.5678,0.3136,0.1474,0.3847,0.0559,BCC
3,1.55,4.16,0.0345,0.5897,0.3116,0.1466,0.3688,0.0546,BCC
3,1.55,4.1725,0.0393,0.6402,0.3192,0.1498,0.3769,0.0619,BCC
3,1.55,4.175,0.0427,0.6769,0.2917,0.1488,0.3514,0.0597,BCC
4,1.75,4.1175,0.0469,0.6236,0.3218,0.1431,0.3594,0.0575,BCC
